00:00-01:00	金星時	土星時	太陽時	月亮時	火星時	水星時	木星時
01:00-02:00	水星時	木星時	金星時	土星時	太陽時	月亮時	火星時
02:00-03:00	月亮時	火星時	水星時	木星時	金星時	土星時	太陽時
03:00-04:00	土星時	太陽時	月亮時	火星時	水星時	木星時	金星時
04:00-05:00	木星時	金星時	土星時	太陽時	月亮時	火星時	水星時
05:00-06:00	火星時	水星時	木星時	金星時	土星時	太陽時	月亮時
06:00-07:00	太陽時	月亮時	火星時	水星時	木星時	金星時	土星時
07:00-08:00	金星時	土星時	太陽時	月亮時	火星時	水星時	木星時
08:00-09:00	水星時	木星時	金星時	土星時	太陽時	月亮時	火星時
09:00-10:00	月亮時	火星時	水星時	木星時	金星時	土星時	太陽時
10:00-11:00	土星時	太陽時	月亮時	火星時	水星時	木星時	金星時
11:00-12:00	木星時	金星時	土星時	太陽時	月亮時	火星時	水星時
12:00-13:00	火星時	水星時	木星時	金星時	土星時	太陽時	月亮時
13:00-14:00	太陽時	月亮時	火星時	水星時	木星時	金星時	土星時
14:00-15:00	金星時	土星時	太陽時	月亮時	火星時	水星時	木星時
15:00-16:00	水星時	木星時	金星時	土星時	太陽時	月亮時	火星時
16:00-17:00	月亮時	火星時	水星時	木星時	金星時	土星時	太陽時
17:00-18:00	土星時	太陽時	月亮時	火星時	水星時	木星時	金星時
18:00-19:00	木星時	金星時	土星時	太陽時	月亮時	火星時	水星時
19:00-20:00	火星時	水星時	木星時	金星時	土星時	太陽時	月亮時
20:00-21:00	太陽時	月亮時	火星時	水星時	木星時	金星時	土星時
21:00-22:00	金星時	土星時	太陽時	月亮時	火星時	水星時	木星時
22:00-23:00	水星時	木星時	金星時	土星時	太陽時	月亮時	火星時
23:00-24:00	月亮時	火星時	水星時	木星時	金星時	土星時	太陽時
